salario,salario_reale,eta,istruzione,annistruzione,genere,cittadinanza,tiponucleo,area5,area3,regione,statocivile,oredilavoro,qualifica,contratto,settore,peso
2100,2057.1942446043163,36,5,13,Maschio,Cittadino italiano,Persona isolata,Nord-Ovest,Nord,Lombardia,Celibe/nubile,36,Operaio,A tempo pieno,"Fornitura di energia elettrica, gas, vapore e aria condizionata",1246.9
1670,1635.9592326139089,49,8,16,Femmina,Cittadino italiano,Persona isolata,Isole,Mezzogiorno,Sicilia,Separato/a o divorziato/a,36,Impiegato,A tempo pieno,Assistenza sanitaria,467.2
1750,1714.3285371702636,55,4,11,Maschio,Cittadino italiano,Coppia senza figli,Nord-Ovest,Nord,Piemonte,Coniugato/a,40,Operaio,A tempo pieno,Fabbricazione di articoli in gomma e materie plastiche,219.6
400,391.8465227817746,51,5,13,Femmina,Cittadino italiano,Coppia senza figli,Nord-Ovest,Nord,Piemonte,Coniugato/a,25,Operaio,A tempo parziale (part-time),Attività di famiglie e convivenze come datori di lavoro per personale domestico,219.6
1300,1273.5011990407672,31,5,13,Femmina,Cittadino italiano,Persona isolata,Nord-Ovest,Nord,Piemonte,Separato/a o divorziato/a,40,Impiegato,A tempo pieno,Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),219.6
750,734.7122302158273,55,5,13,Femmina,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Lombardia,Coniugato/a,20,Impiegato,A tempo parziale (part-time),Attività immobiliari,234.9
1200,1175.5395683453237,23,5,13,Femmina,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Lombardia,Celibe/nubile,38,Impiegato,A tempo pieno,Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),234.9
1900,1861.2709832134292,38,5,13,Maschio,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Veneto,Coniugato/a,40,Operaio,A tempo pieno,Magazzinaggio e attività di supporto ai trasporti,386.1
900,881.6546762589927,36,5,13,Femmina,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Veneto,Coniugato/a,20,Operaio,A tempo parziale (part-time),Magazzinaggio e attività di supporto ai trasporti,386.1
1600,1567.3860911270983,64,10,18,Maschio,Cittadino italiano,Coppia con figli,Centro,Centro,Marche,Coniugato/a,40,Operaio,A tempo pieno,"Fabbr. di computer e prodotti di elettronica e ottica; apparecchi elettromedicali, apparecchi di misurazione e orologi",469.5
1600,1567.3860911270983,52,10,18,Femmina,Cittadino italiano,Coppia con figli,Centro,Centro,Marche,Coniugato/a,24,Impiegato,A tempo pieno,Istruzione,469.5
1200,1175.5395683453237,31,5,13,Maschio,Cittadino italiano,Persona isolata,Nord-Est,Nord,Trentino-Alto Adige,Celibe/nubile,40,Operaio,A tempo pieno,Costruzione di edifici,168.7
1500,1469.4244604316546,39,5,13,Maschio,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Lombardia,Coniugato/a,40,Operaio,A tempo pieno,Trasporto terrestre e trasporto mediante condotte,713
1400,1371.462829736211,65,10,18,Femmina,Cittadino italiano,Persona isolata,Centro,Centro,Lazio,Celibe/nubile,36,Impiegato,A tempo pieno,"Attività di biblioteche, archivi, musei ed altre attività culturali",485.8
1000,979.6163069544364,41,5,13,Femmina,Cittadino italiano,Monogenitore femmina,Isole,Mezzogiorno,Sicilia,Separato/a o divorziato/a,36,Operaio,A tempo pieno,Attività dei servizi di ristorazione,883.5
1400,1371.462829736211,36,9,18,Femmina,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Lombardia,Celibe/nubile,45,Impiegato,A tempo pieno,Industrie alimentari,843.9
1090,1067.7817745803357,57,3,8,Femmina,Cittadino italiano,Coppia senza figli,Nord-Est,Nord,Friuli Venezia Giulia,Separato/a o divorziato/a,30,Operaio,A tempo pieno,Attività di servizi per edifici e paesaggio,247.1
1370,1342.0743405275778,59,5,13,Maschio,Cittadino italiano,Coppia senza figli,Sud,Mezzogiorno,Campania,Coniugato/a,38,Impiegato,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,1733.3
1600,1567.3860911270983,53,3,8,Maschio,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Trentino-Alto Adige,Coniugato/a,40,Operaio,A tempo pieno,Fabbricazione di prodotti in metallo (esclusi macchinari e attrezzature),205.7
1500,1469.4244604316546,53,5,13,Femmina,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Trentino-Alto Adige,Coniugato/a,30,Operaio,A tempo parziale (part-time),Assistenza sociale non residenziale,205.7
1700,1665.347721822542,34,3,8,Maschio,cittadino straniero UE,Coppia con figli,Nord-Est,Nord,Emilia Romagna,Coniugato/a,50,Operaio,A tempo pieno,Trasporto terrestre e trasporto mediante condotte,1179.8
1700,1665.347721822542,47,5,13,Femmina,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Trentino-Alto Adige,Coniugato/a,36,Impiegato,A tempo pieno,Assistenza sanitaria,85.1
1000,979.6163069544364,26,5,13,Femmina,cittadino straniero non UE,Coppia senza figli,Centro,Centro,Umbria,Celibe/nubile,40,Apprendista,A tempo pieno,Altre attività di servizi per la persona,268.6
1300,1273.5011990407672,42,13,22,Femmina,Cittadino italiano,Coppia senza figli,Nord-Ovest,Nord,Liguria,Celibe/nubile,45,Impiegato,A tempo pieno,Attività di organizzazioni associative,801.1
960,940.431654676259,46,5,13,Maschio,Cittadino italiano,Coppia senza figli,Nord-Ovest,Nord,Liguria,Celibe/nubile,30,Impiegato,A tempo parziale (part-time),Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),801.1
450,440.8273381294963,29,8,16,Femmina,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Veneto,Celibe/nubile,40,Impiegato,A tempo pieno,Industrie tessili,511.4
800,783.6930455635492,64,3,8,Maschio,Cittadino italiano,Coppia senza figli,Centro,Centro,Lazio,Coniugato/a,24,Operaio,A tempo parziale (part-time),Attività di organizzazioni associative,520
900,881.6546762589927,60,3,8,Femmina,Cittadino italiano,Coppia senza figli,Centro,Centro,Lazio,Coniugato/a,24,Operaio,A tempo parziale (part-time),Attività di organizzazioni associative,520
1130,1106.9664268585132,35,5,13,Femmina,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Liguria,Celibe/nubile,30,Impiegato,A tempo parziale (part-time),Attività dei servizi di ristorazione,1234.8
890,871.8585131894483,31,3,8,Maschio,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Liguria,Celibe/nubile,33,Impiegato,A tempo parziale (part-time),Attività dei servizi di ristorazione,1234.8
1000,979.6163069544364,33,3,8,Maschio,Cittadino italiano,Coppia con figli,Isole,Mezzogiorno,Sicilia,Coniugato/a,32,Operaio,A tempo pieno,Attività dei servizi di ristorazione,401.1
800,783.6930455635492,36,3,8,Femmina,cittadino straniero non UE,Coppia con figli,Nord-Ovest,Nord,Piemonte,Coniugato/a,35,Operaio,A tempo parziale (part-time),Assistenza sociale non residenziale,236.2
1200,1175.5395683453237,29,5,13,Femmina,Cittadino italiano,Monogenitore femmina,Nord-Est,Nord,Emilia Romagna,Celibe/nubile,40,Operaio,A tempo pieno,Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),1607.3
1400,1371.462829736211,57,3,8,Maschio,Cittadino italiano,Coppia con figli,Centro,Centro,Umbria,Coniugato/a,36,Operaio,A tempo pieno,Assistenza sanitaria,327.5
990,969.820143884892,51,3,8,Femmina,Cittadino italiano,Monogenitore femmina,Nord-Ovest,Nord,Piemonte,Separato/a o divorziato/a,30,Operaio,A tempo parziale (part-time),Attività di servizi per edifici e paesaggio,423.6
1600,1567.3860911270983,48,3,8,Maschio,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Valle d'Aosta,Coniugato/a,36,Operaio,A tempo pieno,"Attività di raccolta, trattamento e smaltimento dei rifiuti; recupero dei materiali",69.3
1400,1371.462829736211,49,5,13,Maschio,Cittadino italiano,Persona isolata,Nord-Ovest,Nord,Piemonte,Celibe/nubile,36,Impiegato,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,295.8
1500,1469.4244604316546,51,5,13,Maschio,Cittadino italiano,Coppia senza figli,Sud,Mezzogiorno,Campania,Coniugato/a,36,Impiegato,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,1768
740,724.9160671462829,49,3,8,Maschio,Cittadino italiano,Persona isolata,Nord-Ovest,Nord,Lombardia,Celibe/nubile,25,Operaio,A tempo parziale (part-time),Fabbricazione di macchinari ed apparecchiature nca,1402.5
1370,1342.0743405275778,38,5,13,Maschio,Cittadino italiano,Coppia con figli,Isole,Mezzogiorno,Sardegna,Coniugato/a,42,Operaio,A tempo pieno,Industrie alimentari,573.9
1270,1244.1127098321342,40,10,18,Femmina,Cittadino italiano,Coppia con figli,Isole,Mezzogiorno,Sardegna,Coniugato/a,24,Impiegato,A tempo pieno,Istruzione,573.9
700,685.7314148681055,45,5,13,Femmina,cittadino straniero non UE,Coppia con figli,Centro,Centro,Toscana,Coniugato/a,25,Operaio,A tempo parziale (part-time),Attività di famiglie e convivenze come datori di lavoro per personale domestico,432.7
1620,1586.9784172661869,62,7,15,Maschio,Cittadino italiano,Coppia senza figli,Sud,Mezzogiorno,Campania,Coniugato/a,30,Impiegato,A tempo pieno,"Attività sportive, di intrattenimento e di divertimento",1150.7
1640,1606.5707434052756,53,5,13,Maschio,Cittadino italiano,Coppia senza figli,Centro,Centro,Toscana,Coniugato/a,40,Operaio,A tempo pieno,Fabbricazione di prodotti chimici,326.8
1200,1175.5395683453237,49,5,13,Maschio,cittadino straniero non UE,Persona isolata,Centro,Centro,Toscana,Separato/a o divorziato/a,40,Operaio,A tempo pieno,Attività di servizi per edifici e paesaggio,2111.3
780,764.1007194244604,28,9,18,Femmina,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Lombardia,Celibe/nubile,36,Impiegato,A tempo pieno,"Attività di biblioteche, archivi, musei ed altre attività culturali",1052.3
1570,1537.997601918465,38,5,13,Maschio,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Trentino-Alto Adige,Celibe/nubile,40,Impiegato,A tempo pieno,"Fabbr. di computer e prodotti di elettronica e ottica; apparecchi elettromedicali, apparecchi di misurazione e orologi",186.6
1230,1204.9280575539567,36,11,19,Femmina,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Trentino-Alto Adige,Celibe/nubile,36,Impiegato,A tempo pieno,Istruzione,186.6
850,832.6738609112709,38,3,8,Maschio,Cittadino italiano,Coppia con figli,Isole,Mezzogiorno,Sicilia,Coniugato/a,30,Operaio,A tempo pieno,"Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi",675.7
590,577.9736211031175,37,5,13,Femmina,Cittadino italiano,Coppia con figli,Isole,Mezzogiorno,Sicilia,Coniugato/a,16,Operaio,A tempo parziale (part-time),Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),675.7
1770,1733.9208633093524,49,5,13,Femmina,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Basilicata,Coniugato/a,37,Impiegato,A tempo pieno,Attività ausiliarie dei servizi finanziari e delle attività assicurative,264
980,960.0239808153476,43,3,8,Maschio,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Piemonte,Celibe/nubile,40,Operaio,A tempo pieno,Fabbricazione di prodotti in metallo (esclusi macchinari e attrezzature),492.3
1300,1273.5011990407672,53,4,11,Femmina,Cittadino italiano,Coppia con figli,Centro,Centro,Umbria,Coniugato/a,40,Impiegato,A tempo pieno,Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),284.8
1900,1861.2709832134292,47,10,18,Femmina,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Molise,Coniugato/a,36,Quadro,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,199.2
1200,1175.5395683453237,30,8,16,Femmina,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Puglia,Celibe/nubile,40,Operaio,A tempo pieno,Servizi di assistenza sociale residenziale,1405.1
1500,1469.4244604316546,41,5,13,Maschio,Cittadino italiano,Coppia con figli,Isole,Mezzogiorno,Sicilia,Coniugato/a,40,Impiegato,A tempo pieno,Telecomunicazioni,540
1000,979.6163069544364,64,3,8,Maschio,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Calabria,Coniugato/a,35,Operaio,A tempo parziale (part-time),Attività di servizi per edifici e paesaggio,286.2
700,685.7314148681055,28,3,8,Femmina,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Calabria,Celibe/nubile,40,Impiegato,A tempo pieno,Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),286.2
1250,1224.5203836930457,52,5,13,Femmina,Cittadino italiano,Coppia con figli,Isole,Mezzogiorno,Sardegna,Coniugato/a,30,Operaio,A tempo parziale (part-time),Attività di famiglie e convivenze come datori di lavoro per personale domestico,641.8
1600,1567.3860911270983,60,5,13,Maschio,Cittadino italiano,Persona isolata,Sud,Mezzogiorno,Molise,Separato/a o divorziato/a,36,Impiegato,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,173.5
350,342.86570743405275,49,5,13,Femmina,Cittadino italiano,Coppia con figli,Centro,Centro,Marche,Coniugato/a,10,Operaio,A tempo parziale (part-time),Attività dei servizi di ristorazione,288
1900,1861.2709832134292,54,5,13,Maschio,Cittadino italiano,Coppia con figli,Centro,Centro,Marche,Coniugato/a,36,Impiegato,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,288
1600,1567.3860911270983,35,4,11,Maschio,cittadino straniero non UE,Monogenitore femmina,Centro,Centro,Marche,Celibe/nubile,48,Impiegato,A tempo pieno,Attività dei servizi di ristorazione,390.6
1500,1469.4244604316546,39,8,16,Femmina,Cittadino italiano,Coppia con figli,Centro,Centro,Marche,Coniugato/a,36,Impiegato,A tempo pieno,Assistenza sanitaria,235.6
1600,1567.3860911270983,39,8,16,Maschio,Cittadino italiano,Coppia con figli,Centro,Centro,Marche,Coniugato/a,36,Impiegato,A tempo pieno,Assistenza sanitaria,235.6
1300,1273.5011990407672,62,5,13,Femmina,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Abruzzo,Coniugato/a,36,Impiegato,A tempo pieno,Istruzione,219
1600,1567.3860911270983,38,3,8,Maschio,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Veneto,Coniugato/a,40,Operaio,A tempo pieno,Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli,1235.1
1300,1273.5011990407672,39,3,8,Maschio,cittadino straniero non UE,Coppia senza figli,Nord-Ovest,Nord,Liguria,Coniugato/a,40,Impiegato,A tempo pieno,Attività dei servizi di ristorazione,466
1900,1861.2709832134292,54,5,13,Femmina,Cittadino italiano,Monogenitore femmina,Nord-Ovest,Nord,Lombardia,Celibe/nubile,40,Impiegato,A tempo pieno,Fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici,1007.8
1200,1175.5395683453237,24,5,13,Maschio,Cittadino italiano,Monogenitore femmina,Nord-Ovest,Nord,Lombardia,Celibe/nubile,40,Impiegato,A tempo pieno,"Produzione di software, consulenza informatica e attività connesse",1007.8
800,783.6930455635492,38,4,11,Femmina,cittadino straniero UE,Coppia con figli,Sud,Mezzogiorno,Campania,Celibe/nubile,30,Operaio,A tempo pieno,Assistenza sociale non residenziale,2333.6
900,881.6546762589927,39,3,8,Maschio,cittadino straniero UE,Coppia con figli,Sud,Mezzogiorno,Campania,Celibe/nubile,40,Operaio,A tempo pieno,Fabbricazione di apparecchiature elettriche ed apparecchiature per uso domestico non elettriche,2333.6
2200,2155.15587529976,54,8,16,Maschio,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Trentino-Alto Adige,Coniugato/a,36,Quadro,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,177.7
490,480.0119904076738,46,3,8,Maschio,Cittadino italiano,Persona isolata,Nord-Ovest,Nord,Piemonte,Separato/a o divorziato/a,48,Operaio,A tempo pieno,Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),697.1
1350,1322.482014388489,54,3,8,Maschio,Cittadino italiano,Monogenitore maschio,Sud,Mezzogiorno,Abruzzo,Separato/a o divorziato/a,40,Operaio,A tempo pieno,Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli),295.5
650,636.7505995203836,28,8,16,Femmina,Cittadino italiano,Monogenitore maschio,Sud,Mezzogiorno,Abruzzo,Celibe/nubile,20,Impiegato,A tempo parziale (part-time),"Assicurazioni, riassicurazioni e fondi pensione (escluse le assicurazioni sociali obbligatorie)",295.5
1800,1763.3093525179854,30,10,18,Maschio,Cittadino italiano,Persona isolata,Isole,Mezzogiorno,Sicilia,Celibe/nubile,37,Impiegato,A tempo pieno,Fabbricazione di altri mezzi di trasporto,677.5
1300,1273.5011990407672,52,10,18,Maschio,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Lombardia,Coniugato/a,18,Impiegato,A tempo pieno,Istruzione,849.4
1500,1469.4244604316546,47,10,18,Femmina,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Lombardia,Coniugato/a,16,Impiegato,A tempo parziale (part-time),Istruzione,849.4
1200,1175.5395683453237,60,3,8,Femmina,Cittadino italiano,Coppia senza figli,Nord-Ovest,Nord,Piemonte,Coniugato/a,36,Operaio,A tempo pieno,Istruzione,157.7
1600,1567.3860911270983,53,5,13,Femmina,Cittadino italiano,Persona isolata,Nord-Est,Nord,Trentino-Alto Adige,Separato/a o divorziato/a,40,Impiegato,A tempo pieno,Industria del legno e dei prodotti in legno e sughero (no mobili); fabbr. di articoli in paglia e materiali da intreccio,220.4
1500,1469.4244604316546,49,10,18,Femmina,Cittadino italiano,Coppia con figli,Centro,Centro,Marche,Coniugato/a,37,Quadro,A tempo pieno,Magazzinaggio e attività di supporto ai trasporti,224.6
1010,989.4124700239807,31,3,8,Maschio,cittadino straniero UE,Monogenitore femmina,Centro,Centro,Toscana,Celibe/nubile,40,Operaio,A tempo pieno,Fabbricazione di articoli in pelle e simili,562.1
980,960.0239808153476,25,5,13,Femmina,cittadino straniero UE,Monogenitore femmina,Centro,Centro,Toscana,Celibe/nubile,40,Operaio,A tempo pieno,Fabbricazione di articoli in pelle e simili,562.1
800,783.6930455635492,56,5,13,Femmina,Cittadino italiano,Coppia senza figli,Nord-Ovest,Nord,Piemonte,Coniugato/a,20,Impiegato,A tempo parziale (part-time),Istruzione,343.1
1290,1263.705035971223,58,5,13,Femmina,Cittadino italiano,Persona isolata,Nord-Ovest,Nord,Lombardia,Celibe/nubile,36,Impiegato,A tempo pieno,Assistenza sanitaria,318.3
1450,1420.4436450839328,30,5,13,Maschio,Cittadino italiano,Persona isolata,Centro,Centro,Lazio,Celibe/nubile,48,Impiegato,A tempo pieno,Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),695
1430,1400.851318944844,36,9,18,Femmina,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Basilicata,Coniugato/a,24,Quadro,A tempo pieno,Istruzione,224.9
1450,1420.4436450839328,49,5,13,Maschio,Cittadino italiano,Monogenitore maschio,Sud,Mezzogiorno,Basilicata,Celibe/nubile,36,Impiegato,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,87.9
1800,1763.3093525179854,34,11,17,Maschio,Cittadino italiano,Persona isolata,Nord-Est,Nord,Veneto,Celibe/nubile,36,Impiegato,A tempo pieno,Assistenza sanitaria,1217.4
1540,1508.609112709832,37,9,18,Femmina,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Trentino-Alto Adige,Coniugato/a,40,Quadro,A tempo pieno,Industrie alimentari,190
760,744.5083932853717,43,3,8,Femmina,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Piemonte,Celibe/nubile,21,Operaio,A tempo parziale (part-time),Fabbricazione di prodotti in metallo (esclusi macchinari e attrezzature),659.8
1500,1469.4244604316546,40,5,13,Maschio,Cittadino italiano,Coppia con figli,Centro,Centro,Toscana,Coniugato/a,36,Impiegato,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,930.3
900,881.6546762589927,34,8,16,Femmina,Cittadino italiano,Coppia con figli,Centro,Centro,Toscana,Coniugato/a,12,Impiegato,A tempo parziale (part-time),Istruzione,930.3
260,254.70023980815347,51,4,11,Femmina,Cittadino italiano,Monogenitore femmina,Nord-Ovest,Nord,Piemonte,Separato/a o divorziato/a,48,Operaio,A tempo parziale (part-time),Attività di famiglie e convivenze come datori di lavoro per personale domestico,289.2
870,852.2661870503597,20,3,8,Maschio,Cittadino italiano,Monogenitore femmina,Nord-Ovest,Nord,Piemonte,Celibe/nubile,40,Operaio,A tempo pieno,Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),289.2
1300,1273.5011990407672,60,5,13,Maschio,Cittadino italiano,Coppia senza figli,Centro,Centro,Lazio,Coniugato/a,36,Impiegato,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,535.9
1480,1449.8321342925658,57,5,13,Femmina,Cittadino italiano,Coppia senza figli,Centro,Centro,Lazio,Coniugato/a,36,Impiegato,A tempo pieno,Istruzione,535.9
1200,1175.5395683453237,36,5,13,Femmina,cittadino straniero non UE,Coppia con figli,Centro,Centro,Toscana,Coniugato/a,38,Operaio,A tempo pieno,Alloggio,312.1
700,685.7314148681055,36,3,8,Maschio,cittadino straniero non UE,Coppia con figli,Centro,Centro,Toscana,Coniugato/a,15,Operaio,A tempo parziale (part-time),Attività dei servizi di ristorazione,312.1
1380,1351.8705035971225,62,3,8,Femmina,Cittadino italiano,Coppia con figli,Centro,Centro,Toscana,Coniugato/a,36,Operaio,A tempo pieno,Istruzione,161.4
1400,1371.462829736211,37,5,13,Maschio,Cittadino italiano,Coppia con figli,Centro,Centro,Toscana,Celibe/nubile,36,Operaio,A tempo pieno,Assistenza sanitaria,161.4
1300,1273.5011990407672,40,5,13,Maschio,Cittadino italiano,Coppia senza figli,Centro,Centro,Toscana,Celibe/nubile,40,Operaio,A tempo pieno,Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli),562.3
1600,1567.3860911270983,56,5,13,Maschio,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Friuli Venezia Giulia,Coniugato/a,39,Operaio,A tempo pieno,Trasporto terrestre e trasporto mediante condotte,177.2
1000,979.6163069544364,56,3,8,Femmina,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Friuli Venezia Giulia,Coniugato/a,25,Operaio,A tempo parziale (part-time),Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),177.2
800,783.6930455635492,25,5,13,Femmina,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Friuli Venezia Giulia,Celibe/nubile,39,Operaio,A tempo pieno,Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),177.2
1400,1371.462829736211,35,4,11,Maschio,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Trentino-Alto Adige,Coniugato/a,30,Impiegato,A tempo parziale (part-time),Servizi di assistenza sociale residenziale,190.5
1600,1567.3860911270983,40,8,16,Femmina,Cittadino italiano,Coppia con figli,Nord-Est,Nord,Trentino-Alto Adige,Coniugato/a,40,Operaio,A tempo pieno,Fabbricazione di carta e di prodotti di carta,190.5
1260,1234.31654676259,38,12,19,Femmina,Cittadino italiano,Coppia senza figli,Nord-Est,Nord,Emilia Romagna,Coniugato/a,24,Impiegato,A tempo pieno,Istruzione,806.3
1460,1430.239808153477,31,4,11,Maschio,Cittadino italiano,Persona isolata,Nord-Est,Nord,Trentino-Alto Adige,Celibe/nubile,40,Operaio,A tempo pieno,Lavori di costruzione specializzati,222.1
1220,1195.1318944844124,26,5,13,Femmina,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Lombardia,Celibe/nubile,40,Impiegato,A tempo pieno,Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),1079.5
1560,1528.2014388489208,57,6,15,Maschio,Cittadino italiano,Coppia con figli,Sud,Mezzogiorno,Calabria,Coniugato/a,18,Impiegato,A tempo pieno,Istruzione,579.1
1420,1391.0551558752998,35,5,13,Maschio,Cittadino italiano,Coppia con figli,Centro,Centro,Toscana,Coniugato/a,38,Impiegato,A tempo pieno,Amministrazione pubblica e difesa; assicurazione sociale obbligatoria,808.9
500,489.8081534772182,42,5,13,Femmina,Cittadino italiano,Coppia senza figli,Nord-Est,Nord,Emilia Romagna,Celibe/nubile,24,Operaio,A tempo parziale (part-time),Assistenza sanitaria,1329.9
820,803.2853717026378,51,10,18,Femmina,Cittadino italiano,Coppia con figli,Centro,Centro,Lazio,Coniugato/a,20,Impiegato,A tempo parziale (part-time),Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),586.2
2610,2556.798561151079,53,10,18,Maschio,Cittadino italiano,Coppia con figli,Isole,Mezzogiorno,Sicilia,Coniugato/a,40,Quadro,A tempo pieno,Attività di servizi finanziari (escluse le assicurazioni e i fondi pensione),562.1
1270,1244.1127098321342,51,5,13,Femmina,Cittadino italiano,Coppia con figli,Isole,Mezzogiorno,Sicilia,Coniugato/a,18,Impiegato,A tempo pieno,Istruzione,562.1
820,803.2853717026378,53,3,8,Femmina,Cittadino italiano,Monogenitore femmina,Centro,Centro,Lazio,Separato/a o divorziato/a,25,Operaio,A tempo parziale (part-time),Attività di servizi per edifici e paesaggio,1577.6
800,783.6930455635492,24,5,13,Maschio,Cittadino italiano,Monogenitore femmina,Centro,Centro,Lazio,Celibe/nubile,48,Operaio,A tempo pieno,Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),1577.6
1280,1253.9088729016785,48,2,5,Maschio,cittadino straniero non UE,Coppia con figli,Nord-Est,Nord,Veneto,Coniugato/a,40,Operaio,A tempo pieno,Fabbricazione di prodotti in metallo (esclusi macchinari e attrezzature),694.8
1000,979.6163069544364,41,5,13,Femmina,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Piemonte,Separato/a o divorziato/a,30,Impiegato,A tempo parziale (part-time),Assistenza sociale non residenziale,963.1
1150,1126.558752997602,25,5,13,Maschio,Cittadino italiano,Coppia con figli,Nord-Ovest,Nord,Piemonte,Celibe/nubile,40,Impiegato,A tempo pieno,Assistenza sociale non residenziale,963.1
1940,1900.4556354916065,56,3,8,Maschio,Cittadino italiano,Coppia senza figli,Isole,Mezzogiorno,Sardegna,Coniugato/a,50,Operaio,A tempo pieno,Trasporto terrestre e trasporto mediante condotte,307.9
1100,1077.57793764988,61,3,8,Maschio,Cittadino italiano,Coppia senza figli,Nord-Ovest,Nord,Lombardia,Coniugato/a,40,Operaio,A tempo pieno,Industrie alimentari,904.3
1750,1714.3285371702636,60,5,13,Femmina,Cittadino italiano,Coppia senza figli,Nord-Ovest,Nord,Lombardia,Coniugato/a,24,Impiegato,A tempo pieno,Istruzione,261.2
1600,1567.3860911270983,51,5,13,Maschio,Cittadino italiano,Coppia con figli,Centro,Centro,Lazio,Coniugato/a,40,Impiegato,A tempo pieno,Attività di servizi per edifici e paesaggio,337
1560,1528.2014388489208,42,3,8,Maschio,Cittadino italiano,Coppia con figli,Isole,Mezzogiorno,Sicilia,Coniugato/a,45,Operaio,A tempo pieno,Ingegneria civile,690.7
300,293.8848920863309,46,3,8,Femmina,Cittadino italiano,Coppia con figli,Centro,Centro,Umbria,Coniugato/a,19,Operaio,A tempo parziale (part-time),Attività di famiglie e convivenze come datori di lavoro per personale domestico,276
1150,1126.558752997602,20,5,13,Maschio,Cittadino italiano,Coppia con figli,Centro,Centro,Umbria,Celibe/nubile,40,Apprendista,A tempo pieno,Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),276
